athlete_id,first_name,last_name,country,gender,weight_category,height,weight
43010,Lisset Johana,OROZCO,COLOMBIA,F,,0.0,
533,Albert,TECHOV,LITHUANIA,M,,164.0,
1045,Daniel,KELLY,AUSTRALIA,M,,185.0,
2074,Flavio,CANTO,BRAZIL,M,,175.0,
4125,Eun Hee,LEE,REPUBLIC OF KOREA,F,,160.0,
2589,Ronda,ROUSEY,UNITED STATES OF AMERICA,F,,,
5156,Tadahiro,NOMURA,JAPAN,M,,,
15909,Maria,PEKLI,AUSTRALIA,F,,0.0,
52926,Julia,MATIJASS,GERMANY,F,,,
1739,Barbara,HAREL,FRANCE,F,,160.0,
52787,Scott,FERNANDIS,AUSTRALIA,M,,,
52788,Oliver,GUSSENBERG,GERMANY,M,,0.0,
52789,Revazi,ZINTIRIDIS,GREECE,M,,,
52790,Cristobal Alejandro,ABURTO,MEXICO,M,,,
52791,Nam Chol,PAK,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,M,,,
52792,Sanjar,ZOKIROV,UZBEKISTAN,M,,0.0,
14900,Dongmei,XIAN,PEOPLE'S REPUBLIC OF CHINA,F,,0.0,
58,Min-Ho,CHOI,REPUBLIC OF KOREA,M,,163.0,
52795,Jorge,LENCINA,ARGENTINA,M,,,
52796,Heath,YOUNG,AUSTRALIA,M,,,
52797,Henrique Carlos,GUIMARAES,BRAZIL,M,,,
52794,Revier David,ALVARENGA,VENEZUELA,M,,,
52800,Ehud,VAKS,ISRAEL,M,,,
52802,Magomed,DZHAFAROV,RUSSIAN FEDERATION,M,,,
4162,Zurab,ZVIADAURI,GEORGIA,M,,180.0,
580,Miguel,ALBARRACIN,ARGENTINA,M,,0.0,
4164,Roberto,MELONI,ITALY,M,,180.0,
1093,Aleksei,BUDOLIN,ESTONIA,M,,0.0,
36426,Cinzia,CAVAZZUTI,ITALY,F,,0.0,
590,Jimmy,PEDRO,UNITED STATES OF AMERICA,M,,0.0,
2638,Yosvane,DESPAIGNE TERRY,ITALY,M,,,
5202,Gennadiy,BILODID,UKRAINE,M,,0.0,
85,Masato,UCHISHIBA,JAPAN,M,,,
24662,Lena,GOELDI,GERMANY,F,,0.0,
2648,Dashdavaa,GANTUMUR,MONGOLIA,M,,0.0,
1114,Kate,HOWEY,GREAT BRITAIN,F,,0.0,
13920,Ludwing,ORTIZ,ECUADOR,M,,0.0,
2147,Sonya,CHERVONSKY,AUSTRALIA,F,,160.0,
7270,Marcon,BEZZINA,MALTA,F,,163.0,
42599,Celia,SCHUTZ,UNITED STATES OF AMERICA,F,,0.0,
35945,Amar,MERIDJA,ALGERIA,M,,150.0,
5225,Modesto,LARA,DOMINICAN REPUBLIC,M,,0.0,
52938,Georgina,SINGLETON,GREAT BRITAIN,F,,,
5228,Jose,BOISARD,DOMINICAN REPUBLIC,M,,194.0,
34409,Ylenia,SCAPIN,ITALY,F,,0.0,
6766,Flor,VELAZQUEZ,VENEZUELA,F,,165.0,
106,Sarah,CLARK,GREAT BRITAIN,F,,176.0,
2670,Daniela Yael,KRUKOWER,ARGENTINA,F,,0.0,
52940,Raffaella,IMBRIANI,GERMANY,F,,,
27767,Ryon Mi,KIM,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,F,,0.0,
8827,Jean Claude,CAMEROUN,CAMEROON,M,,160.0,
2685,Hamed,MALEK MOHAMMADI,ISLAMIC REPUBLIC OF IRAN,M,,179.0,
52943,Naina Cecilia,RAVAOARISOA,MADAGASCAR,F,,,
2179,Masahiro,TAKAMATSU,JAPAN,M,,170.0,
133,Marie-Helene,CHISHOLM,CANADA,F,,0.0,
52961,Shufang,LI,PEOPLE'S REPUBLIC OF CHINA,F,,,
13963,Danielle,ZANGRANDO,BRAZIL,F,,0.0,
52945,Sang Sim,RI,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,F,,,
19087,Michal,FEINBLAT,ISRAEL,F,,0.0,
10390,Omar,REBAHI,ALGERIA,M,,0.0,
4246,Masae,UENO,JAPAN,F,,0.0,
671,Valentyn,GREKOV,UKRAINE,M,,180.0,
52903,Rodrigo,LUCENTI,ARGENTINA,M,,,
52904,Andrew,COLLETT,AUSTRALIA,M,,,
22015,Winston,GORDON,GERMANY,M,,0.0,
172,Telma,MONTEIRO,PORTUGAL,F,,160.0,
2219,Catherine,ROBERGE,CANADA,F,,165.0,
4269,Annett,BOEHM,GERMANY,F,,0.0,
48816,Younes,AHAMDI,MOROCCO,M,,0.0,
52913,Sagdat,SADYKOV,KAZAKHSTAN,M,,178.0,
52914,Victor,BIVOL,REPUBLIC OF MOLDOVA,M,,,
52915,Damdin,SULDBAYAR,MONGOLIA,M,,,
52917,Rubert,MARTINEZ,CUBA,M,,,
182,Joao,NETO,PORTUGAL,M,,176.0,
52918,Tatiana,MOSKVINA,BELARUS,F,,,
695,Yvonne,BOENISCH,GERMANY,F,,168.0,
52921,Bertille,ALI,CENTRAL AFRICAN REPUBLIC,F,,,
52922,Carolyne,LEPAGE,CANADA,F,,,
52923,Feng,GAO,PEOPLE'S REPUBLIC OF CHINA,F,,,
6332,Claudiu,BASTEA,ROMANIA,M,,,
52924,Florian,WANNER,GERMANY,M,,,
190,Saso,JEREB,SLOVENIA,M,,175.0,
52927,Tatyana,SHISHKINA,KAZAKHSTAN,F,,,
192,Tsagaanbaatar,KHASHBAATAR,MONGOLIA,M,,170.0,
52929,Dmitri,NOSSOV,RUSSIAN FEDERATION,M,,0.0,
52930,Kyong Ok,RI,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,F,,,
15555,Daniel,FERNANDES,FRANCE,M,,0.0,
52931,Roman,GONTYUK,UKRAINE,M,,,
52933,Richard,HAWN,UNITED STATES OF AMERICA,M,,,
52932,Nese,SENSOY,TÜRKIYE,F,,,
52928,Anna,ZEMLA-KRAJEWSKA,POLAND,F,,,
52934,Yamila,ZAMBRANO,CUBA,F,,,
9929,David,MARGOSHVILI,GEORGIA,M,,170.0,
52937,Khaled,MEDDAH,ALGERIA,M,,,
52939,Gabriel Eduardo,LAMA VALENZUELA,CHILE,M,,0.0,
5324,Carlos,HONORATO,BRAZIL,M,,,
1229,Antoni,BESOLI CERVELLERA,ANDORRA,M,,0.0,
52941,Rostand Barry,MELAPING,CAMEROON,M,,,
7887,Vyacheslav,PERETEYKO,UZBEKISTAN,M,,180.0,
52935,Giuseppina,MACRI,ITALY,F,,,
52942,M Mah,SOUMAH,GUINEA,F,,,
52946,Gerhard,DEMPF,GERMANY,M,,,
52947,Ioana Maria,ALUAS,ROMANIA,F,,,
2260,Young-Woo,KWON,REPUBLIC OF KOREA,M,,176.0,
725,Jozef,KRNAC,SLOVAKIA,M,,0.0,
1750,Krzysztof,WILKOMIRSKI,POLAND,M,,175.0,
52951,Jose,GOLDSCHMIED,MEXICO,M,,,
52949,Francesco,LEPRE,ITALY,M,,,
52944,Rochelle,STORMONT,NEW ZEALAND,F,,,
218,Ludwig,PAISCHER,AUSTRIA,M,,170.0,
52952,Charlee,MINKIN,UNITED STATES OF AMERICA,F,,,
52953,Elina Vavailagi,NASAUDRODRO,FIJI,F,,160.0,
2269,Mario,VALLES,COLOMBIA,M,,,
52955,Kie,KUSAKABE,JAPAN,F,,,
52956,Natalia,YUKHAREVA,RUSSIAN FEDERATION,F,,,
224,Nyamkhuu,DAMDINSUREN,MONGOLIA,M,,0.0,
52957,Ellen,WILSON,UNITED STATES OF AMERICA,F,,,
52960,Vania,ISHII,BRAZIL,F,,,
52963,Sara,ALVAREZ,SPAIN,F,,,
52962,Diana,MAZA,ECUADOR,F,,,
19685,Gal,YEKUTIEL,ISRAEL,M,,0.0,
52966,Saida,DHAHRI,TUNISIA,F,,,
38631,Evgenii,STANEV,RUSSIAN FEDERATION,M,,0.0,
10471,Francis,LABROSSE,SEYCHELLES,M,,169.0,
4329,Bernard,MVONDO ETOGA,CAMEROON,M,,169.0,
52965,Ok Song,HONG,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,F,,,
52964,Bok Hee,LEE,REPUBLIC OF KOREA,F,,,
52967,Eleni,TAMPASI,GREECE,F,,,
52969,Friba,RAZAYEE,AFGHANISTAN,F,,,
9454,Mohammed Ali,BEN SALEH,LIBYA,M,,,
52972,Dongya,QIN,PEOPLE'S REPUBLIC OF CHINA,F,,,
240,Miklos,UNGVARI,HUNGARY,M,,177.0,
752,Przemyslaw,MATYJASZEK,POLAND,M,,186.0,
754,Robert,KRAWCZYK,POLAND,M,,182.0,
52977,Nasiba,SALAEVA,TURKMENISTAN,F,,0.0,
756,Lila,LATROUS,ALGERIA,F,,170.0,
6358,Ayumi,TANIMOTO,JAPAN,F,,0.0,
19702,Taraje,WILLIAMS MURRAY,UNITED STATES OF AMERICA,M,,168.0,
759,Amar,BENIKHLEF,ALGERIA,M,,186.0,
6390,Gue-Rin,YE,REPUBLIC OF KOREA,F,,,
13049,Adil,BELGAID,MOROCCO,M,,0.0,
3834,Abdou,ALASSANE DJIBO,NIGER,M,,175.0,
757,Rachida,OUERDANE,ALGERIA,F,,,
6908,Diedhiou,HORTENSE,SENEGAL,F,,,
765,David,KEVKHISHVILI,GEORGIA,M,,0.0,
31998,Christodoulos,CHRISTODOULIDES,CYPRUS,M,,0.0,
767,Nestor,KHERGIANI,GEORGIA,M,,169.0,
3328,Isabel,FERNANDEZ,SPAIN,F,,162.0,
248,Edith,BOSCH,NETHERLANDS,F,,183.0,
6402,Yordanis,ARENCIBIA,CUBA,M,,0.0,
2307,Benjamin,DARBELET,FRANCE,M,,170.0,
15618,Soraya,HADDAD,ALGERIA,F,,0.0,
771,Salima,SOUAKRI,ALGERIA,F,,0.0,
258,Rasa,SRAKA,SLOVENIA,F,,175.0,
41223,Catherine Ewa,EKUTA,NIGERIA,F,,0.0,
266,Petra,NAREKS,SLOVENIA,F,,163.0,
52958,Carly,DIXON,AUSTRALIA,F,,0.0,
268,Urska,ZOLNIR JUGOVAR,SLOVENIA,F,,175.0,
52970,Elizabeth,COPES,ARGENTINA,F,,0.0,
53010,Abbas,FALLAH,ISLAMIC REPUBLIC OF IRAN,M,,0.0,
2323,Joao,PINA,PORTUGAL,M,,172.0,
2835,Craig,FALLON,GREAT BRITAIN,M,,168.0,
53011,Eduardo,COSTA,ARGENTINA,M,,,
16149,Driulis,GONZALEZ,CUBA,F,,0.0,
279,Guillaume,ELMONT,NETHERLANDS,M,,175.0,
2327,Yuki,YOKOSAWA,JAPAN,F,,,
52973,Anaisis,HERNANDEZ,CUBA,F,,,
52974,Andrea,POKORNA,CZECHIA,F,,170.0,
52975,Alexia,KOURTELESI,GREECE,F,,0.0,
52976,Mi Jung,KIM,REPUBLIC OF KOREA,F,,,
17706,Jianhua,XIE,PEOPLE'S REPUBLIC OF CHINA,M,,0.0,
299,Morgan,ENDICOTT-DAVIES,AUSTRALIA,M,,180.0,
48940,Catherine,ARLOVE,AUSTRALIA,F,,170.0,
4909,Kenji,UEMATSU,SPAIN,M,,0.0,
17709,Erkin,IBRAGIMOV,KYRGYZSTAN,M,,0.0,
5935,Grigori,MAMRIKISHVILI,GEORGIA,M,,0.0,
14646,Mehman,AZIZOV,AZERBAIJAN,M,,0.0,
2870,Sophie,COX,GREAT BRITAIN,F,,155.0,
824,Anis,LOUNIFI,TUNISIA,M,,0.0,
7991,Sun Hui,KYE,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,F,,0.0,
4922,Ricardo,ECHARTE,SPAIN,M,,,
52979,Shu Yun,LIU,CHINESE TAIPEI,F,,,
12608,Sholpan,KALIYEVA,KAZAKHSTAN,F,,0.0,
835,Lavrentios,ALEXANIDIS,GREECE,M,,173.0,
836,Ilias,ILIADIS,GREECE,M,,180.0,
837,Dionysios,ILIADIS,GREECE,M,,180.0,
3395,Mark,HUIZINGA,NETHERLANDS,M,,190.0,
325,Ilse,HEYLEN,BELGIUM,F,,162.0,
49477,Maria,TSELARIDOU,GREECE,F,,0.0,
840,Ioulietta,BOUKOUVALA,GREECE,F,,170.0,
323,Catherine,JACQUES,BELGIUM,F,,176.0,
3409,Georgi,GEORGIEV,BULGARIA,M,,168.0,
40787,Jose Vicbart,GERALDINO ROSSELLO,DOMINICAN REPUBLIC,M,,0.0,
857,Yoel,RAZVOZOV,ISRAEL,M,,175.0,
44378,David,FERNANDEZ,COSTA RICA,M,,0.0,
7515,Rudimar,FLEMING,VENEZUELA,F,,175.0,
26324,Gella,VANDECAVEYE,BELGIUM,F,,0.0,
46942,Cedric,CLAVERIE,FRANCE,M,,0.0,
863,Siarhei,SHUNDZIKAU,BELARUS,M,,180.0,
3937,Yuxiang,LIU,PEOPLE'S REPUBLIC OF CHINA,F,,0.0,
