contest_id,competition_id,competition_name,date,location,weight_category_x,athlete_blue_id,athlete_white_id,winner_id,fight_duration,score_blue,score_white,round,athlete_id,first_name,last_name,country,gender,weight_category_y,height,weight,role
463635,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,13920,6402,6402,0,,,4,13920,Ludwing,ORTIZ,ECUADOR,M,,0.0,,blue
463651,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,52796,6402,6402,0,,,3,52796,Heath,YOUNG,AUSTRALIA,M,,,,blue
463652,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,2323,6402,6402,0,,,2,2323,Joao,PINA,PORTUGAL,M,,172.0,,blue
463654,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,2323,240,2323,0,,,3,2323,Joao,PINA,PORTUGAL,M,,172.0,,blue
463655,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,725,52673,725,0,,,3,725,Jozef,KRNAC,SLOVAKIA,M,,0.0,,blue
463656,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,35945,725,725,0,,,2,35945,Amar,MERIDJA,ALGERIA,M,,150.0,,blue
463657,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,52800,35945,35945,0,,,3,52800,Ehud,VAKS,ISRAEL,M,,,,blue
463658,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,85,2648,85,0,,,3,85,Masato,UCHISHIBA,JAPAN,M,,,,blue
463659,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,85,52802,85,0,,,2,85,Masato,UCHISHIBA,JAPAN,M,,,,blue
463661,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,52797,52802,52802,0,,,3,52797,Henrique Carlos,GUIMARAES,BRAZIL,M,,,,blue
463662,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,3409,37261,3409,0,,,3,3409,Georgi,GEORGIEV,BULGARIA,M,,168.0,,blue
463663,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,3409,13689,3409,0,,,2,3409,Georgi,GEORGIEV,BULGARIA,M,,168.0,,blue
463664,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,361,13689,13689,0,,,3,361,Milos,MIJALKOVIC,SERBIA,M,,173.0,,blue
463665,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,725,6402,725,0,,,1,725,Jozef,KRNAC,SLOVAKIA,M,,0.0,,blue
463666,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,3409,85,3409,0,,,1,3409,Georgi,GEORGIEV,BULGARIA,M,,168.0,,blue
463667,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,6402,9929,6402,0,,,0,6402,Yordanis,ARENCIBIA,CUBA,M,,0.0,,blue
