contest_id,competition_id,competition_name,date,location,weight_category,athlete_blue_id,athlete_white_id,winner_id,fight_duration,score_blue,score_white,round
463635,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,13920,6402,6402,0,,,4
463651,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,52796,6402,6402,0,,,3
463652,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,2323,6402,6402,0,,,2
463654,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,2323,240,2323,0,,,3
463655,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,725,52673,725,0,,,3
463656,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,35945,725,725,0,,,2
463657,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,52800,35945,35945,0,,,3
463658,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,85,2648,85,0,,,3
463659,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,85,52802,85,0,,,2
463661,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,52797,52802,52802,0,,,3
463662,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,3409,37261,3409,0,,,3
463663,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,3409,13689,3409,0,,,2
463664,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,361,13689,13689,0,,,3
463665,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,725,6402,725,0,,,1
463666,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,3409,85,3409,0,,,1
463667,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,6402,9929,6402,0,,,0
463668,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,85,725,85,0,,,0
463669,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,3409,52673,3409,0,,,0
463670,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,52796,13920,13920,0,,,3
463671,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,52673,3834,52673,0,,,3
463672,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,35945,52673,52673,0,,,2
463673,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,2323,13920,2323,0,,,2
463674,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,52673,2323,52673,0,,,1
463675,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,2648,52795,52795,0,,,3
463676,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,37261,9929,9929,0,,,3
463677,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,13689,9929,9929,0,,,2
463678,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,52802,52795,52795,0,,,2
463679,1856,Olympic Games Athens 2004,,"Athens, Greece",-66,9929,52795,9929,0,,,1
464111,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,471,431,431,0,,,5
464120,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52913,590,590,0,,,5
464140,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,431,15555,15555,0,,,2
464141,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,857,52917,857,0,,,4
464142,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,1750,52904,1750,0,,,4
464143,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,431,1750,431,0,,,3
464144,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,17892,431,431,0,,,4
464145,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,388,15555,388,0,,,1
464146,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,765,2179,765,0,,,4
464147,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,835,388,388,0,,,4
464148,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,4329,2433,4329,0,,,4
464149,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52915,4487,52915,0,,,4
464150,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52903,590,590,0,,,4
464151,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,428,11643,11643,0,,,4
464152,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,11176,35757,11176,0,,,4
464154,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,5202,11176,5202,0,,,3
464155,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,190,2685,2685,0,,,4
464156,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52914,2685,52914,0,,,3
464157,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52682,52914,52914,0,,,4
464158,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,31998,182,182,0,,,4
464159,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,4084,6332,6332,0,,,4
464160,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,6332,182,182,0,,,3
464161,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,182,52914,52914,0,,,2
464162,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52914,11643,11643,0,,,1
464163,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,5202,11643,11643,0,,,2
464164,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,11643,590,11643,0,,,3
464165,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,11643,388,11643,0,,,0
464166,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52914,431,431,0,,,0
464167,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,388,765,388,0,,,3
464168,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52915,4329,52915,0,,,3
464169,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52915,388,388,0,,,2
464170,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,15555,590,590,0,,,0
464172,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,857,17706,857,0,,,3
464173,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,431,857,431,0,,,2
464175,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,765,835,765,0,,,3
464176,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52915,765,765,0,,,2
464177,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,765,431,431,0,,,1
464179,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,590,428,590,0,,,3
